id,title,description,url,street_address,locality,region,postal_code,country,latitude,longitude,email,telephone,events_count
202390046,"""Someday Lounge""","""""","""""","""125 NW 5th""","""Portland""","""Oregon""","""97209""",null,"""45.524""","""-122.676""","""""","""""",30
202390051,"""PCC Cascade Campus""","""""","""http://www.pcc.edu/about/locations/cascade/ ""","""705 N. Killingsworth St.""","""Portland""","""OR""","""97217""","""US""","""45.56269""","""-122.674""","""""","""""",16
202390052,"""Oregon Zoo""","""""","""http://www.oregonzoo.org""","""4001 SW Canyon Rd.""","""Portland""","""OR""","""97221-9704""","""US""","""45.51027""","""-122.7157""","""""","""503-226-1561""",32
202390053,"""ENTP [OLD ADDRESS]""","""We are a consultancy and web incubator collective based in Portland, Oregon. We specialize in implementing big ideas.""","""http://entp.com""","""618 NW Glisan St""","""Portland""","""OR""","""97209""","""US""","""45.52662""","""-122.6767""","""""","""""",2
202390054,"""Pier Coffee""","""""","""""","""600 NW Naito Parkway""","""Portland""","""OR""","""97209""","""US""","""45.52762""","""-122.6724""","""""","""""",2
202390056,"""Portland Marriott City Center""","""""","""http://www.marriottportland.com""","""520 SW Broadway""","""Portland""","""OR""","""97205 ""","""US""","""45.52054""","""-122.679""","""""","""503-226-6300 """,2
202390059,"""Microsoft Portland ""","""""","""http://www.microsoft.com/about/companyinformation/usaoffices/pacwest/portland.mspx""","""10260 S.W. Greenburg Road Suite #600""","""Portland ""","""OR""","""97223""","""US""","""45.44589""","""-122.7764""","""""",""" (503) 452-6400""",22
202390060,"""Ecotrust (Jean Vollum Natural Capital Center)""","""""","""http://www.ecotrust.org/ncc/""","""721 NW Ninth Ave""","""Portland""","""Oregon""","""97209""","""US""","""45.52814""","""-122.6803""","""""","""""",66
202390061,"""Silver Falls Conference Center""","""Nestled in the foothills of the Oregon Cascades, The Conference Center at Silver Falls State Park offers an ideal atmosphere for overnight retreats, family reunions, conferences, training sessions and day meetings within easy reach of the state's metropolitan areas. <br>\r\nThe Conference Center, located in a secluded meadow, surrounded by a tall stand of Douglas Fir and Hemlock trees, specializes in serving groups of 10 to 76 people. Common vegetation includes Oregon grape, salal, and sword fern. Pacific blacktail deer, rabbits, birds, chipmunks and squirrels abound.  Along with a variety of options for lodging and meeting rooms, we offer year round comfort for all of our guests, including cabin rentals for individuals, couples or families.\r\n""","""http://www.silverfallsconference.com/""","""20022 Silver Falls Hwy S""","""Sublimity""","""OR""","""97385""","""US""","""44.85361""","""-122.6618""","""866-575-8875 ""","""ccsilverfalls@aol.com """,1
202390066,"""Corillian Cafe""","""""","""""","""3400 Nw John Olsen Pl""","""Hillsboro""","""OR""","""97124""","""US""","""45.54466""","""-122.8807""","""""","""""",1
202390067,"""Nob Hill Old Pharmacy Café""",null,null,"""2100 NW Glisan""","""Portland""","""Oregon""",null,null,"""45.5262""","""-122.695""",null,null,1
202390070,"""BridgePort Brew Pub""","""""","""http://www.bridgeportbrew.com""","""1313 Nw Marshall St""","""Portland""","""Oregon""","""97209""","""US""","""45.53111""","""-122.685""","""""","""503.241.3612""",48
202390078,"""World Trade Center""","""""","""http://www.wtcpd.com""","""121 SW Salmon""","""Portland""","""Oregon""","""97204""","""US""","""45.5162""","""-122.675""","""""","""(503) 464-8688""",34
202390081,"""Portland Art Museum""","""""","""""","""1219 SW Park Avenue""","""Portland""","""Oregon""","""97205""","""US""","""45.51632""","""-122.6831""","""""","""""",48
202390090,"""SAO (Software Association of Oregon)""","""""","""http://www.sao.org""","""111 SW 5th Ave., Suite 120""","""Portland""","""OR""","""97204""","""US""","""45.52254""","""-122.6755""","""info@sao.org ""","""503-228-5401""",10
202390091,"""CCC Wilsonville Campus ""","""""","""http://www.clackamas.edu""","""29353 Town Center Loop E""","""Wilsonville""","""OR""","""97070""","""US""","""45.30749""","""-122.7612""","""""","""503-657-6958, ext. 4609 """,1
202390099,"""Bus Project""",null,null,"""333 Se 2nd Ave""","""Portland""","""OR""","""97214""","""US""","""45.52057""","""-122.6638""","""http://www.busproject.org/""","""503.233.3018""",2
202390102,"""Hotel deLuxe ""","""""","""http://www.hoteldeluxeportland.com/""","""729 Sw 15th Ave""","""Portland""","""OR""","""97205""","""US""","""45.52117""","""-122.6873""","""""","""503-219-2094 """,9
202390103,"""OMSI (Oregon Museum of Science and Industry)""","""""","""http://www.omsi.edu""","""1945 SE Water Avenue""","""Portland""","""OR""","""97214-3354""","""US""","""45.50895""","""-122.6657""","""""","""503.797.6674""",31
202390105,"""Bailey's Taproom""","""20 Rotating Taps of Craft Ales and Lagers. Pacific Region Wines. Free Wi-Fi. Mexican restaurant across the street will deliver to Bailey's.\r\n""","""http://www.baileystaproom.com/""","""213 SW Broadway""","""Portand""","""OR""","""97205""","""US""","""45.52253""","""-122.6779""","""""","""""",17
202390107,"""Huber's Restaurant""","""""","""""","""411 SW 3rd Ave""","""Portland""","""OR""","""97204""","""US""","""45.52018""","""-122.6745""","""""","""""",1
202390111,"""Social Text""","""""","""http://www.socialtext.com""","""655 High Street""","""Palo Alto""","""CA""","""94301""","""US""","""37.44285""","""-122.1613""","""""","""650-323-0800""",1
202390116,"""Chemeketa Community College""","""""","""http://www.chemek.cc.or.us/""","""4000 Lancaster Dr Ne""","""Salem""","""OR""","""97309""","""US""","""44.97705""","""-122.9833""","""""","""503.399.5000""",1
202390117,"""SyKart""","""""","""http://www.sykart.com/""","""8205 SW Hunziker St.""","""Tigard""","""Oregon""","""97223""","""US""","""45.43036""","""-122.7614""","""""","""""",1
202390131,"""Bagdad Theater and Pub""","""""","""http://www.mcmenamins.com/index.php?loc=9""","""3702 S.E. Hawthorne Blvd""","""Portland""","""Oregon""","""97214""","""US""","""45.51203""","""-122.6257""","""""","""""",20
202390134,"""Nemo Design""","""""","""""","""1875 SE Belmont St""","""Portland""","""Oregon""","""97214""",null,"""45.5166""","""-122.647""","""""","""""",7
202390135,"""Extensis""","""""","""http://www.extensis.com""","""1800 Sw 1st Ave""","""Portland""","""OR""","""97201""","""US""","""45.51014""","""-122.6772""","""""","""503.274.2020""",4
202390139,"""coaxis""","""""","""http://www.coaxis.net""","""1515 SE Water Avenue, Suite 300""","""Portland""","""OR""","""97214""","""US""","""45.51211""","""-122.6658""","""""","""97214""",2
202390148,"""Hotel Vintage Plaza""","""""","""""","""422 SW Broadway""","""Portland""","""OR""","""97205""","""US""","""45.5208""","""-122.6785""","""""","""""",2
202390166,"""McMenamins Old St. Francis School""","""""","""http://www.mcmenamins.com/index.php?loc=98""","""700 N.W. Bond Street""","""Bend""","""OR""","""97701""","""US""","""44.05662""","""-121.3149""","""""","""(541) 382-5174""",2
202390177,"""Oswego Hills Winery""","""""","""http://www.oswegohills.com""","""450 Rosemont Rd""","""West Linn""","""OR""","""97068""","""US""","""45.38694""","""-122.6742""","""""","""503-655-2599""",4
202390203,"""PCC Rock Creek Campus""","""""","""http://www.pcc.edu/about/locations/rock-creek/""","""17705 Nw Springville Rd""","""Portland""","""OR""","""97229""","""US""","""45.56298""","""-122.8585""","""""","""""",2
202390250,"""Washington County Workforce Training Center""","""""","""http://www.pcc.edu/about/locations/washingtonco""","""18624 Nw Walker Rd""","""Beaverton""","""OR""","""97006""","""US""","""45.52829""","""-122.8689""","""""","""""",1
202390251,"""Hot Pepper Studios""","""""","""http://www.hotpepper.com""","""3377 SE Division St., Suite 104""","""Portland""","""OR ""","""97202-1471""","""US""","""45.50502""","""-122.63""","""""","""503.230.2058""",2
202390261,"""unknown""","""This is a dummy venue.  It exists so that nonsense venues can be \""squashed\"" into it. <b>Please don't delete or edit</b>.""","""""","""""","""""","""""","""""",null,null,null,"""""","""""",10
202390262,"""Seattle Bell Harbor International Conference Center""","""""","""http://www.bellharbor.com""","""2211 Alaskan Way, Pier 66""","""Seattle""","""WA ""","""98121""","""US""","""47.61074""","""-122.348""","""info@bellharbor.com""","""206.441.6666 """,7
202390263,"""DoubleTree Hotel & Executive Meeting Center Portland - Lloyd Center""","""""","""http://doubletree1.hilton.com/en_US/dt/hotel/RLLC-DT-Doubletree-Hotel-Executive-Meeting-Center-Portland-Lloyd-Center-Oregon/index.do""","""1000 Ne Multnomah St""","""Portland""","""OR""","""97232""","""US""","""45.53071""","""-122.6556""","""""","""503-281-6111""",56
202390265,"""HotLips Pizza PEARL DISTRICT (at NW 10th and Irving)""","""""","""http://www.hotlipspizza.com/pizza/locations.html""","""NW 10th and Irving""","""Portland""","""OR ""","""97209""","""US""","""45.52797""","""-122.6813""","""""","""503.595.2342""",1
202390266,"""Laurelhurst Park""","""Park in SE Portland.""","""http://www.portlandonline.com/parks/finder/index.cfm?action=ViewPark&PropertyID=224""","""SE 37th Ave & Oak St""","""Portland""","""OR""","""97214""","""US""","""45.52029""","""-122.6258""","""""","""""",11
202390267,"""Madison's Grill (Closed)""","""""","""http://www.meet-at-madisons.com""","""1109 Se Madison St""","""Portland""","""OR""","""97214""","""US""","""45.51294""","""-122.6547""","""""","""503.230.2471""",15
202390268,"""Small Business Development Center""","""""","""http://www.bizcenter.org""","""Ne Halsey St & Ne 9th Ave""","""Portland""","""OR""","""97232""","""US""","""45.5336""","""-122.6565""","""""","""503-978-5080""",1
202390269,"""Rumblefish""","""""","""http://rumblefish.com/""","""919 SW Taylor""","""Portland""","""OR""","""97205""","""US""","""45.51858""","""-122.6824""","""""","""800.293.9102""",0
202390270,"""Online""","""This venue is a placeholder for on line events.  <b>Please don't delete or edit.</b>""","""""","""placeholder for on-line events""","""""","""""","""""",null,null,null,"""""","""""",59
202390271,"""Portland State University""","""""","""""","""1633 SW Park Ave""","""Portland""","""OR""","""97214""","""US""","""45.51366""","""-122.6852""","""""","""""",15
202390272,"""One Center Court""","""""","""""","""1 N Center Ct St""","""Portland""","""OR""","""97227""","""US""","""45.53081""","""-122.6677""","""""","""""",1
202390273,"""McMenamins Kennedy School""","""""","""http://www.mcmenamins.com/index.php?loc=57""","""5736 N.E. 33rd Ave.""","""Portland""","""OR""","""97211""","""US""","""45.56451""","""-122.6296""","""""","""""",29
202390278,"""GoLife Mobile Headquarters""","""THE NO B.S! OPEN HOUSE\r\n*Meet the people behind GoLife Mobile\r\n*Learn How Mobile Can Enhance Your Business\r\n*Find out What’s Happening at GoLife Mobile\r\n*Learn About Creating Mobile Applications For The Physical World\r\n*Find out What’s Coming from GoLife Mobile\r\n*Give us Feedback on our Roadmap\r\nGoLife Mobile is hosting a casual Open House for our developers, partners, customers, and anyone interested in mobile.  Come meet with other people who are working in the mobile industry.  We will also review some of the exciting things we’re cooking up in our labs and will give a glimpse into what’s coming soon.\r\nWhen: Wednesday May 28, 2008 6 – 9 PM \r\nWhere: GoLife Mobile Corporation, 3600 NW John Olson Place, Hillsboro, OR 97124 \r\nJoin us for pizza and\r\ndiscussions about the past, present, and future of\r\nthe mobile industry and the Mobile Lifestyle.\r\nFor more information or to RSVP, please contact  rsvp@golifemobile.com\r\nAbout GoLife Mobile: GoLife Mobile's passion is building the Mobile Lifestyle. We think that mobile devices should be useful interaction tools, blending the physical and the electronic worlds. We think that developers should be able to focus on building applications that meet users' needs. And we have created the framework to do just that. Our Services Oriented Architecture fuses together the virtual and physical worlds, enabling developers to quickly create, distribute, and monetize real-world services which work across a wide-array of mobile devices.\r\n""","""http://www.golifemobile.com""","""3600 NW John Olsen Pl.""","""Hillsboro""","""OR""","""97124""","""US""","""45.54531""","""-122.8801""","""rsvp@golifemobile.com""","""503.432.5502""",1
202390280,"""Hotel Monaco Portland""",null,null,"""506 SW Washington St""","""Portland""","""Oregon""","""97204""",null,"""45.52""","""-122.677""",null,null,2
202390281,"""Tour de Crepes""","""Crepe shop with beer and wine.""","""http://www.tourdecrepes.blogspot.com/""","""2921 NE Alberta St""","""Portland""","""OR""","""97211""","""US""","""45.55904""","""-122.6354""","""whatshappening@tourdecrepes.com""","""503.473.8657""",1
202390282,"""Lucky Labrador Brew Pub""","""""","""http://LuckyLab.com""","""915 SE Hawthorne Boulevard""","""Portland""","""Oregon""","""97214""","""US""","""45.51241""","""-122.6563""","""""","""""",543
202390284,"""Red Lion Hotel Portland - Convention Center""","""""","""http://redlion.rdln.com/HotelLocator/HotelOverview.aspx?metaID=38""","""1021 NE Grand Avenue""","""Portland""","""OR""","""97232""","""US""","""45.53044""","""-122.6611""","""""","""""",38
202390285,"""Jimmy Mak's""","""Jimmy Mak’s is just about exactly what you’d expect of a jazz club.""","""http://www.jimmymaks.com/""","""221 NW 10th Ave""","""Portland""","""OR""","""97209""","""US""","""45.52483""","""-122.6815""","""""","""""",3
202390288,"""Rock Bottom Brewery""","""""","""""","""206 SW Morrison St.""","""Portland""","""OR""","""97204""","""US""","""45.51804""","""-122.6747""","""""","""""",3
202390289,"""Overlook Park""","""""","""http://www.portlandonline.com/parks/finder/index.cfm?PropertyID=497&action=ViewPark""","""1301 N Fremont St""","""Portland""","""OR""","""97217""","""US""","""45.54779""","""-122.6811""","""""","""""",4
202390290,"""Oregon Electric Station""","""""","""http://www.oesrestaurant.com/""","""27 East 5th Avenue""","""Eugene""","""OR""","""97401""","""US""","""44.05437""","""-123.0923""","""""","""(541) 485-4444""",1
202390291,"""McMenamins Cornelius Pass Roadhouse""","""""","""http://www.mcmenamins.com/index.php?loc=13""","""4045 N.W. Cornelius Pass Rd.""","""Hillsboro""","""OR""","""97124""","""US""","""45.5487""","""-122.8999""","""""","""(503) 640-6174""",7
202390302,"""Life of Riley Tavern""",null,null,"""300 NW 10th Ave.""","""Portland""","""Oregon""","""97209""",null,"""45.5252""","""-122.681""",null,null,4
202390324,"""McMenamins on Broadway""","""""","""http://www.mcmenamins.com/index.php?loc=32""","""1504 NE Broadway St Ste 900""","""Portland""","""Oregon""","""97232-1407""","""US""","""45.53504""","""-122.6504""","""""","""(503)288-9498""",21
202390326,"""Crystal Ballroom""","""""","""http://www.mcmenamins.com/index.php?loc=2""","""1332 W. Burnside St""","""Portland""","""Oregon""","""97209""",null,"""45.5228""","""-122.685""","""""","""(503) 225-0047""",4
202390327,"""Living Room Theaters""","""""","""http://livingroomtheaters.com/""","""341 Sw 10th Ave""","""Portland""","""Oregon""","""97205""","""US""","""45.52232""","""-122.6814""","""""","""971.222.2010""",21
202390328,"""Jamison Square Park""",null,null,"""810 NW 11th Ave""","""Portland""","""Oregon""","""97209""","""US""","""45.52918""","""-122.6816""",null,null,1
202390331,"""The Elk""","""The Elk statue and fountain in the middle of Main Street between 3rd and 4th avenues.""","""""","""350 SW Main St""","""Portland""","""Oregon""","""97204""","""US""","""45.51572""","""-122.6775""","""""","""""",1
202390332,"""Cedarwood Waldorf School""","""""","""http://www.cedarwoodschool.org/""","""3030 SW 2nd Ave""","""Portland""","""Oregon""","""97201""",null,"""45.5014""","""-122.68""","""""","""503-245-1477""",1
202390333,"""Grand Central Bowl""","""""","""""","""839 SE Morrison""","""Portland""","""Oregon""","""""",null,"""45.5174""","""-122.657""","""""","""""",1
202390334,"""Boyds Coffee, Downtown Portland""","""""","""http://www.boyds.com/about/retail.html""","""1229 SW 10th Ave""","""Portland""","""Oregon""","""97205""",null,"""45.5166""","""-122.684""","""""","""503 241 4226 """,1
202390335,"""Wieden+Kennedy""",null,null,"""224 NW 13th Ave.""","""Portland""","""Oregon""","""97209""",null,"""45.5246""","""-122.684""",null,null,8
202390337,"""North Park Blocks""",null,null,"""NW Park and Couch""","""Portland""","""Oregon""",null,null,"""45.5237""","""-122.679""",null,null,0
202390339,"""Old Church""","""""","""""","""1422 S.W. 11th Avenue""","""Portland""","""Oregon""","""97201""",null,"""45.5153""","""-122.686""","""""","""""",3
202390341,"""Portland Building""",null,null,"""1120 SW 5th Avenue""","""Portland""","""Oregon""",null,null,"""45.5159""","""-122.679""",null,null,4
202390344,"""Multnomah County Central Library""","""""","""http://www.multcolib.org""","""801 SW 10th Avenue""","""Portland""","""Oregon""","""97205""",null,"""45.5192""","""-122.683""","""""","""""",14
202390346,"""Bend Oregon""",null,null,"""downtown""","""Bend""","""Oregon""","""43201""","""US""","""39.98396""","""-83.01792""",null,null,1
202390350,"""Plan B""",null,null,"""1305 SE 8th""","""Portland""","""Oregon""","""97214""",null,"""45.5136""","""-122.658""",null,null,1
202390353,"""Imbibe""","""""","""""","""2229 SE Hawthorne Blvd""","""Portland""","""Oregon""","""97214""","""US""","""45.51206""","""-122.6432""","""""","""""",2
202390354,"""Cafe Viale""","""""","""""","""1001 Sw 5th Ave""","""Portland""","""OR""","""97204""","""US""","""45.51661""","""-122.6794""","""""","""""",1
202390357,"""Station Place Smart Park""",null,null,"""720 NW Marshall""","""Portland""","""Oregon""",null,null,"""45.5311""","""-122.679""",null,null,1
202390358,"""Organics To You""",null,null,"""606 SE Madison St""","""Portland""","""Oregon""",null,null,"""45.5128""","""-122.66""",null,null,1
202390359,"""Wonder Ballroom""",null,null,"""128 NE Russell St""","""Portland""","""Oregon""","""97212""",null,"""45.5408""","""-122.664""",null,null,1
202390360,"""Hula Boy""",null,null,"""1109 Washington St""","""Vancouver""","""Washington""","""98660""",null,"""45.6297""","""-122.673""",null,null,1
202390363,"""Pioneer Courthouse Square""","""""","""""","""701 Sw 6th Ave""","""Portland""","""OR""","""97204""","""US""","""45.51888""","""-122.6793""","""""","""""",10
202390364,"""Kingstad Center""","""""","""http://www.kingstad.com""","""15450 SW Millikan Way""","""Beaverton""","""OR""","""97006""","""US""","""45.49707""","""-122.8363""","""""","""(503) 626-6338 """,8
202390366,"""under the Burnside Bridge""",null,null,"""West Burnside and Naito Parkway""","""Portland""","""Oregon""",null,null,"""45.5231""","""-122.67""",null,null,1
202390367,"""Screening Room""","""""","""http://www.screeningrm.com""","""925 NW 19th Ave""","""Portland""","""Oregon""","""97209""",null,"""45.5294""","""-122.691""","""john@screeningrm.com""","""503-936-0676""",1
202390369,"""Paddy's Bar & Grill""","""""","""""","""65 Sw Yamhill St""","""Portland""","""OR""","""97204""","""US""","""45.51709""","""-122.6736""","""""","""""",28
202390376,"""Rose Garden""",null,null,"""One Center Court, Suite 100""","""Portland""","""Oregon""","""97221""",null,"""45.532""","""-122.668""",null,null,1
202390380,"""White Buffalo Wines""","""""","""http://whitebuffalowines.com/""","""4040 Westcliff Dr""","""Hood River""","""OR""","""97031""","""US""","""45.71101""","""-121.553""","""whitebuffalowines@live.com""","""541.386.5534""",4
